Round of 16,Roma,12,Porto,9
Round of 16,Manchester United,15,Paris Saint-Germain,6
Round of 16,Ajax,24,Real Madrid,1
Round of 16,Tottenham,19,Borussia Dortmund,11
Round of 16,Liverpool,14,Bayern Munich,2
Round of 16,Lyon,25,Barcelona,3
Round of 16,Schalke,20,Manchester City,7
Round of 16,Atletico Madrid,4,Juventus,5
Round of 16,Porto,9,Roma,12
Round of 16,Paris Saint-Germain,6,Manchester United,15
Round of 16,Real Madrid,1,Ajax,24
Round of 16,Borussia Dortmund,11,Tottenham,19
Round of 16,Bayern Munich,2,Liverpool,14
Round of 16,Barcelona,3,Lyon,25
Round of 16,Manchester City,7,Schalke,20
Round of 16,Juventus,5,Atletico Madrid,4